tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt10024044,movie,Hiwwe wie Driwwe - Pfälzisch in Amerika,Hiwwe wie Driwwe - Pfälzisch in Amerika,0,2019,\N,91,Documentary,8.5,6
tt10024716,movie,Aghavan,Aghavan,0,2019,\N,158,Family,6.5,22
tt10025196,movie,Dracula,Dracula,0,2019,\N,\N,Drama,3.0,8
tt10026108,movie,Felix in Wonderland,Felix in Wonderland,0,2019,\N,49,"Documentary,Music,Musical",7.6,7
tt10026172,movie,Between Me and My Mind,Between Me and My Mind,0,2019,\N,100,Documentary,7.7,160
tt10026730,movie,Eleições,Eleições,0,2019,\N,100,Documentary,7.2,13
tt10027696,movie,Patterns of Evidence: Moses Controversy,Patterns of Evidence: The Moses Controversy,0,2019,\N,140,Documentary,7.9,42
tt10029182,movie,"Incels, a Documentary","Incels, a Documentary",0,2019,\N,\N,Documentary,5.8,5
tt10033908,movie,Lucky One,Lucky One,0,2019,\N,76,Drama,5.9,14
tt10034272,movie,Mukherjee Dar Bou,Mukherjee Dar Bou,0,2019,\N,127,"Drama,Family",7.9,258
tt10035012,movie,Curses,Chaeng,0,2019,\N,\N,Horror,5.4,9
tt10036378,movie,Canova,Canova,0,2019,\N,96,Documentary,7.2,5
tt10037700,movie,Precure Miracle Universe Movie,Precure Miracle Universe Movie,0,2019,\N,70,"Adventure,Animation,Family",9.0,94
tt10038028,movie,The Struggle,The Struggle,0,2019,\N,96,Action,2.1,38
tt10039344,movie,Countdown,Countdown,0,2019,\N,90,"Horror,Thriller",5.3,13827
tt10039354,movie,LasseMajas detektivbyrå - Tågrånarens hemlighet,LasseMajas detektivbyrå - Tågrånarens hemlighet,0,2020,\N,\N,"Adventure,Family",6.5,33
tt10039468,movie,My Stupid Boss 2,My Stupid Boss 2,0,2019,\N,96,"Adventure,Comedy",6.7,215
tt10039524,movie,Luxor,Luxor,0,2020,\N,85,"Drama,Romance",7.1,8
tt10041438,movie,My Name Is Violeta,Me llamo Violeta,0,2019,\N,73,Documentary,6.2,18
tt10044000,movie,Snow to Sand,Snow to Sand,0,2019,\N,60,Documentary,5.9,22
tt10044182,movie,Block Z,Block Z,0,2020,\N,101,"Action,Horror,Thriller",6.4,33
tt10044220,movie,Zagreb Equinox,Zagrebacki Ekvinocij,0,2019,\N,94,Comedy,8.2,167
tt10044704,movie,Between Maybes,Between Maybes,0,2019,\N,107,"Drama,Romance",6.1,48
tt10044934,movie,Bumi Itu Bulat,Bumi Itu Bulat,0,2019,\N,103,Drama,5.5,6
tt10045072,movie,Billich: Beyond The Canvas,Billich: Beyond The Canvas,0,2019,\N,\N,Documentary,5.5,105
tt10045136,movie,War of Art,War of Art,0,2019,\N,102,Documentary,7.4,53
tt10045434,movie,The Door,Kapi,0,2019,\N,110,"Comedy,Drama",6.7,199
tt10046208,movie,La vida en común,La vida en común,0,2019,\N,70,"Drama,Mystery",6.7,18
tt10046236,movie,Alem-i Cin 2,Alem-i Cin 2,0,2019,\N,93,Horror,4.8,372
tt10046694,movie,Fabulous,Fabuleuses,0,2019,\N,112,Comedy,7.4,28
tt10048556,movie,Staged Killer,Staged Killer,0,2019,\N,88,Thriller,3.3,204
tt10049110,movie,Die Wiese,Die Wiese,0,2019,\N,93,Documentary,7.6,34
tt10049262,movie,James & Pat & Dave,James & Pat & Dave,0,2020,\N,\N,"Comedy,Romance",7.2,8
tt10049848,movie,Once Upon a Time in Deadwood,Once Upon a Time in Deadwood,0,2019,\N,85,Western,2.7,125
tt10050274,movie,Mystified,Mystified,0,2019,\N,86,"Adventure,Fantasy",6.5,11
tt10050608,movie,Drama,Drama,0,2019,\N,117,Drama,7.6,5
tt10050766,movie,Brené Brown: The Call to Courage,Brené Brown: The Call to Courage,0,2019,\N,76,"Documentary,Drama",7.7,799
tt10050782,movie,Grass is Greener,Grass is Greener,0,2019,\N,97,Documentary,7.1,844
tt10051088,movie,Curveball,Curveball,0,2020,\N,\N,"Comedy,Crime,Thriller",7.4,29
tt10051320,movie,Adopted in Danger,Killing Your Daughter,0,2019,\N,\N,Thriller,5.2,55
tt10051586,movie,Scare Attraction,Scare Attraction,0,2019,\N,72,Horror,3.1,169
tt10052156,movie,Shell and Joint,Shell and Joint,0,2020,\N,154,Drama,6.2,22
tt10052290,movie,Faustina: Love and Mercy,Milosc i milosierdzie,0,2019,\N,107,"Biography,Drama,Family",6.2,86
tt10053058,movie,Angel Sign,Angel Sign,0,2019,\N,105,"Drama,Romance",5.4,10
tt10054544,movie,VI,VI,0,2019,\N,70,Thriller,8.0,35
tt10054952,movie,3D Print Masters,3D Print Masters,0,2019,\N,52,"Biography,Documentary",6.6,5
tt10055770,movie,Vellai Pookal,Vellaipookal,0,2019,\N,122,"Crime,Drama,Thriller",7.2,1044
tt10055774,movie,Mere Pyare Deshvasiyom,Mere Pyare Deshvasiyom,0,2019,\N,110,Comedy,4.1,11
tt10056322,movie,MeloDylan,MeloDylan,0,2019,\N,92,Drama,7.5,21
tt10056510,movie,Dharma Prabhu,Dharmaprabhu,0,2019,\N,147,"Drama,Fantasy",4.6,141
tt10059236,movie,My Second Year in College,Sale dovom daneshkadeh man,0,2019,\N,99,Drama,5.0,43
tt10060094,movie,The Knight Before Christmas,The Knight Before Christmas,0,2019,\N,92,"Adventure,Comedy,Drama",5.5,11205
tt10060386,movie,Hellcat's Revenge II: Deadman's Hand,Hellcat's Revenge II: Deadman's Hand,0,2019,\N,82,"Action,Thriller",4.0,28
tt10061256,movie,Hot Gimmick: Girl Meets Boy,Hot Gimmick: Girl Meets Boy,0,2019,\N,119,Drama,4.5,148
tt10062650,movie,O Olho e a Faca,O Olho e a Faca,0,2019,\N,99,"Drama,Thriller",6.2,17
tt10062704,movie,Sasha's Hell,Sasha's Hell,0,2019,\N,98,"Drama,Horror",6.9,7
tt10063028,movie,Puck & Hans - Made in Holland,Puck & Hans - Made in Holland,0,2019,\N,52,Documentary,8.6,5
tt10064270,movie,Jaddi Sardar,Jaddi Sardar,0,2019,\N,150,"Action,Drama,Romance",6.1,33
tt10064354,movie,Inland,Inland,0,2019,\N,95,Documentary,8.1,17
tt10064448,movie,Because We Are Girls,Because We Are Girls,0,2019,\N,85,Documentary,8.4,14
tt10064562,movie,Charismatic Megafauna,Charismatic Megafauna,0,2019,\N,\N,Documentary,7.3,6
tt10064728,movie,Inverse Everest,Inverse Everest,0,2019,\N,\N,Documentary,7.0,5
tt10064828,movie,Man on the Bus,Man on the Bus,0,2019,\N,84,Documentary,9.1,7
tt10065750,movie,My Nudity Means Nothing,Ma nudité ne sert à rien,0,2019,\N,85,Drama,5.4,18
tt10065976,movie,No Longer Human,Ningen shikkaku: Dazai Osamu to 3-nin no onnatachi,0,2019,\N,120,"Biography,Drama,Thriller",6.3,78
tt10066040,movie,Il grande passo,Il grande passo,0,2019,\N,\N,Comedy,7.2,12
tt10066162,movie,Song of Youth,Lao shi · Hao,0,2019,\N,\N,Drama,6.1,176
tt10066526,movie,Mantan Manten,Mantan Manten,0,2019,\N,102,"Drama,Romance",7.5,99
tt10066756,movie,The Happiest Man on Earth,Miehiä ja poikia,0,2019,\N,85,Documentary,7.2,184
tt10068158,movie,Made in Abyss: Journey's Dawn,Made in Abyss: Tabidachi no Yoake,0,2019,\N,139,"Adventure,Animation,Fantasy",7.3,61
tt10068544,movie,Made in Abyss: Wandering Twilight,Made in Abyss: Hôrô Suru Tasogare,0,2019,\N,110,"Adventure,Animation,Fantasy",7.3,43
tt10068916,movie,Made in Abyss: Dawn of the Deep Soul,Made in Abyss: Fukaki Tamashî no Reimei,0,2020,\N,105,"Adventure,Animation,Fantasy",8.8,44
tt10069476,movie,Seytan-i Ins,Seytan-i Ins,0,2019,\N,82,Horror,8.0,95
tt10070730,movie,Rise of the Machine Girls,Bakuretsu mashin shôjo - bâsuto mashin gâru,0,2019,\N,75,Action,5.2,24
tt10071462,movie,Bunker of Blood 07: Killjoys Carnage Caravan,Bunker of Blood 07: Killjoys Carnage Caravan,0,2019,\N,88,Horror,4.6,9
tt10071862,movie,Mazlum Kuzey & Kuddusi 2 La! Kasada Para Var!,Mazlum Kuzey & Kuddusi 2 La! Kasada Para Var!,0,2019,\N,\N,Comedy,3.1,18
tt10073008,movie,The Shadow of Gold,The Shadow of Gold,0,2019,\N,78,Documentary,7.2,21
tt10074426,movie,Last Fool Show,Last Fool Show,0,2019,\N,110,"Comedy,Romance",6.8,13
tt10074486,movie,Vortex,Ting er zou xian,0,2019,\N,103,Drama,5.9,60
tt10074536,movie,Liberation,Liberation,0,2019,\N,103,Drama,5.4,24
tt10075078,movie,Rahasyam,Rahasyam,0,2019,\N,100,"Horror,Thriller",6.9,16
tt10075374,movie,The Little Prince,The Little Prince,0,2019,\N,93,Action,7.0,6
tt10075830,movie,M for Malaysia,M for Malaysia,0,2019,\N,92,Documentary,4.7,132
tt10075944,movie,Bazaar Encounters,Bazaar Encounters,0,2019,\N,73,Documentary,4.4,8
tt10076106,movie,Manmadhudu 2,Manmadhudu 2,0,2019,\N,155,"Comedy,Drama,Romance",4.9,404
tt10076440,movie,Et je choisis de vivre,Et je choisis de vivre,0,2019,\N,70,Documentary,6.9,7
tt10076722,movie,We Are Legends,We Are Legends,0,2019,\N,108,Action,5.1,120
tt10077042,movie,Single & Ready,Single & Ready,0,2019,\N,92,Romance,6.4,5
tt10077706,movie,Meathook Massacre: The Final Chapter,Meathook Massacre: The Final Chapter,0,2019,\N,70,Horror,5.8,20
tt10077998,movie,The Unknown Saint,Le Miracle du Saint Inconnu,0,2019,\N,100,"Comedy,Crime",6.6,207
tt10078132,movie,Pansamantagal,Pansamantagal,0,2019,\N,83,"Comedy,Romance",7.2,5
tt10078290,movie,The Spy Behind Home Plate,The Spy Behind Home Plate,0,2019,\N,101,Documentary,6.9,70
tt10078532,movie,Daymohk,Daymohk,0,2019,\N,85,Documentary,7.2,11
tt10078664,movie,Moon of the Blood Beast,Moon of the Blood Beast,0,2019,\N,70,Horror,6.7,20
tt10078894,movie,Deadly Playthings,Deadly Playthings,0,2019,\N,76,Horror,2.8,58
tt10080052,movie,Liza's Tale,Istoria Lizy,0,2019,\N,111,Drama,7.6,7
tt10080270,movie,Killing Sarai,En Brazos de un Asesino,0,2019,\N,106,"Romance,Thriller",6.5,45
tt10080924,movie,Sweater,Sweater,0,2019,\N,118,Drama,7.3,413
tt10080996,movie,Gujarat 11,Gujarat 11,0,2019,\N,140,"Drama,Sport",8.8,11
tt10081104,movie,Gidarh Singhi,Gidarh Singhi,0,2019,\N,120,Comedy,9.1,7
tt10081116,movie,Kobbari Matta,Kobbari Matta,0,2019,\N,110,Comedy,5.7,81
tt10081172,movie,15 Lakh Kado Aauga,15 Lakh Kado Aauga,0,2019,\N,132,Comedy,6.6,7
tt10081202,movie,Evvarikee Cheppoddu,Evvarikee Cheppoddu,0,2019,\N,133,Drama,7.3,197
tt10081210,movie,Aaviri,Aaviri,0,2019,\N,\N,"Drama,Thriller",4.6,53
tt10081238,movie,Malli Malli Chusa,Malli Malli Chusa,0,2019,\N,126,Drama,5.5,10
tt10081546,movie,A Lifetime of Sundays,A Lifetime of Sundays,0,2019,\N,90,Documentary,8.5,6
tt10081596,movie,Flat Earth: To the Edge and Back,Flat Earth: To the Edge and Back,0,2019,\N,50,Comedy,3.5,127
tt10081728,movie,Santamaria,Santamaria,0,2019,\N,85,"Mystery,Sci-Fi",8.0,5
tt10081762,movie,Breaking Surface,Breaking Surface,0,2020,\N,\N,"Action,Drama,Thriller",6.8,59
tt10082356,movie,Dreams from the Outback,Dreams from the Outback,0,2019,\N,79,Documentary,7.6,11
tt10083048,movie,Aute Retrato,Aute Retrato,0,2019,\N,98,Documentary,6.1,8
tt10083986,movie,Bhinna,Bhinna,0,2019,\N,95,Thriller,7.5,17
tt10084190,movie,Chandigarh Amritsar Chandigarh,Chandigarh Amritsar Chandigarh,0,2019,\N,107,"Comedy,Drama,Romance",7.6,1310
tt10084688,movie,Auerhaus,Auerhaus,0,2019,\N,104,"Comedy,Drama,Romance",5.9,42
tt10084780,movie,Vinara sodara veera kumara,Vinara sodara veera kumara,0,2019,\N,\N,"Drama,Romance",7.9,49
tt10084788,movie,"Segretarie, Una Vita per il Cinema","Segretarie, Una Vita per il Cinema",0,2019,\N,64,Documentary,6.5,6
tt10085338,movie,Blood on Her Name,Blood on Her Name,0,2019,\N,85,"Crime,Drama,Thriller",5.3,165
tt10085648,movie,Vourate Geitonoi,Vourate Geitonoi,0,2019,\N,135,Comedy,6.8,57
tt10086502,movie,Scent of My Daughter,Kizim Gibi Kokuyorsun,0,2019,\N,103,Drama,8.1,67
tt10086692,movie,The Blade of Storm,The Blade of Storm,0,2019,\N,\N,"Action,Adventure,History",7.9,64
tt10086808,movie,Morgana,Morgana,0,2019,\N,71,"Biography,Documentary",6.4,7
tt10086906,movie,KontrAdiksyon,KontrAdiksyon,0,2019,\N,154,Action,3.8,6
tt10087134,movie,Jack & Daniel,Jack & Daniel,0,2019,\N,156,"Action,Thriller",4.5,353
tt10087448,movie,Ufuraj se i pukni,Ufuraj se i pukni,0,2019,\N,82,Comedy,6.0,59
tt10087628,movie,Le cercle des petits philosophes,Le cercle des petits philosophes,0,2019,\N,90,Documentary,6.4,29
tt10088006,movie,Khalid: Free Spirit,Free Spirit,0,2019,\N,45,Drama,6.9,38
tt10089152,movie,Bed of Thorns,Bed of Thorns,0,2019,\N,\N,Drama,6.6,11
tt10090744,movie,Raia 4,Raia 4,0,2019,\N,92,Drama,8.1,49
tt10091268,movie,Lock & Key,Lock & Key,0,2019,\N,97,Action,4.6,14
tt10091530,movie,Holiday Rush,Holiday Rush,0,2019,\N,92,"Comedy,Romance",4.8,1529
tt10091696,movie,Dybbuk Box: The Story of Chris Chambers,Dybbuk Box: The Story of Chris Chambers,0,2019,\N,60,Horror,7.4,603
tt10092736,movie,Mimicry Freaks,Chô-gitai ningen,0,2019,\N,91,"Horror,Mystery,Thriller",4.8,11
tt10092770,movie,Pocong the Origin,Pocong the Origin,0,2019,\N,90,"Adventure,Horror",5.9,78
tt10092860,movie,Rumput Tetangga,Rumput Tetangga,0,2019,\N,104,"Comedy,Drama",8.0,23
tt10093120,movie,Leyla Gencer: La Diva Turca,Leyla Gencer: La Diva Turca,0,2019,\N,85,Documentary,8.1,7
tt10095266,movie,Climate Change: The Facts,Climate Change: The Facts,0,2019,\N,60,Documentary,8.0,332
tt10095336,movie,Our Godfather,Our Godfather,0,2019,\N,92,Documentary,6.8,779
tt10096422,movie,Watch Movie Free Online,Watch Movie Free Online,0,2019,\N,45,"Action,Adventure,Comedy",8.0,29
tt10096424,movie,Sono solo fantasmi,Sono solo fantasmi,0,2019,\N,98,Comedy,4.8,83
tt10097364,movie,Send Me to the Clouds,Song wo shang qing yun,0,2019,\N,99,Drama,6.2,215
tt10097530,movie,The Guilty Ones,Ni shi xiong shou,0,2019,\N,94,"Crime,Drama,Mystery",5.7,42
tt10097544,movie,Qi Huan Zhi Lv,Qi Huan Zhi Lv,0,2019,\N,102,Drama,6.1,15
tt10097752,movie,Vermelha,Vermelha,0,2019,\N,79,Drama,6.8,8
tt10097816,movie,Stranded,Stranded,0,2019,\N,89,"Drama,Romance",7.5,11
tt10097832,movie,Hui dao guo qu yong bao ni,Hui dao guo qu yong bao ni,0,2019,\N,\N,Drama,5.2,10
tt10098248,movie,The Food That Built America,The Food That Built America,0,2019,\N,\N,"Documentary,History",8.5,192
tt10098374,movie,The Twins,Shuang sheng,0,2019,\N,82,"Drama,Mystery,Romance",2.4,8
tt10098398,movie,Blind and Battered,Blind and Battered,0,2019,\N,72,Documentary,7.5,14
tt10098472,movie,Finky,Finky,0,2019,\N,95,Drama,6.9,22
tt10098494,movie,Guilt by Design,Cui mian · Cai jue,0,2019,\N,93,"Action,Crime",5.8,171
tt10100506,movie,Omar And Us,Omar And Us,0,2019,\N,104,Drama,5.7,30
tt10100620,movie,Chernobyl: Zona otchuzhdeniya,Chernobyl: Zona otchuzhdeniya,0,2019,\N,101,"Drama,Mystery,Sci-Fi",4.7,80
tt10100664,movie,Iliza Shlesinger: Over & Over,Iliza Shlesinger: Over & Over,0,2019,\N,\N,Documentary,5.7,60
tt10100842,movie,William Tecumseh Sherman: Beyond the March to the Sea,William Tecumseh Sherman: Beyond the March to the Sea,0,2019,\N,115,Documentary,7.1,23
tt10101054,movie,Ab Negative,Ab Negative,0,2019,\N,\N,Action,6.5,59
tt10101774,movie,Psycho Party Planner,The Party Planner,0,2020,\N,93,Thriller,4.9,83
tt10101810,movie,#HatersMakeMeFamous,#HatersMakeMeFamous,0,2019,\N,\N,Documentary,8.7,6
tt10101846,movie,One Night,Over Night,0,2019,\N,123,"Drama,Family",5.9,35
tt10102192,movie,Nadhoo Khan,Nadhoo Kha'n,0,2019,\N,136,Drama,4.3,42
tt10102328,movie,Adhyaksha In America,Adhyaksha In America,0,2019,\N,156,Comedy,7.0,28
tt10102350,movie,2 Fingers Honey,2 Gisht Mjaltë,0,2019,\N,101,Comedy,2.5,577
tt10106812,movie,Einstein and Hawking: Unlocking the Universe,Einstein and Hawking: Unlocking the Universe,0,2019,\N,82,Documentary,8.2,24
tt10107594,movie,Cinema Mon Amour,Cinema Mon Amour,0,2019,\N,\N,Documentary,7.9,7
tt10107868,movie,In a New York Minute,In a New York Minute,0,2019,\N,102,Drama,7.8,16
tt10108358,movie,The Past Is Never Dead,The Past Is Never Dead,0,2019,\N,88,Documentary,5.2,16
tt10108544,movie,Always a Bridesmaid,Always a Bridesmaid,0,2019,\N,97,"Comedy,Romance",4.8,148
tt10109262,movie,Leaving Neverland: Take Two,Leaving Neverland: Take Two,0,2019,\N,\N,Documentary,8.5,114
tt10109750,movie,BABA 'Bu Alem Bi Alem',BABA 'Bu Alem Bi Alem',0,2019,\N,94,"Comedy,Drama",4.3,414
tt10109752,movie,Felts Field,Felts Field,0,2019,\N,81,"Horror,Mystery,Sci-Fi",3.9,8
tt10109980,movie,O' Une histoire de famille,O' Une histoire de famille,0,2019,\N,45,Documentary,7.6,15
tt10110022,movie,Zakleté pírko,Zakleté pírko,0,2020,\N,\N,"Family,Fantasy",1.7,10
tt10110180,movie,Little Miss Period,Seiri-chan,0,2019,\N,75,Comedy,5.9,29
tt10110872,movie,2177: The San Francisco Love Hacker Crimes,2177: The San Francisco Love Hacker Crimes,0,2019,\N,98,Sci-Fi,2.1,96
tt10110912,movie,Rock 4,Rock 4,0,2020,\N,\N,Musical,5.6,5
tt10111404,movie,Lat Mat 4: Nha Co Khach,Lat Mat 4: Nha Co Khach,0,2019,\N,100,"Comedy,Horror",5.9,39
tt10111568,movie,Smile Please,Smile Please,0,2019,\N,132,Drama,7.7,91
tt10111746,movie,Between Heaven and Earth,Between Heaven and Earth,0,2019,\N,92,Drama,7.3,10
tt10111920,movie,1979 Big Bang of the Present,1979 Big Bang of the Present,0,2019,\N,89,"Documentary,History",6.6,22
